"filename", "language", "JSON", "TypeScript", "JSON with Comments", "MS SQL", "TypeScript JSX", "JavaScript", "Markdown", "PowerShell", "PostCSS", "comment", "blank", "total"
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\clinics\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 69, 0, 0, 0, 0, 4, 7, 80
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\doctor\[doctorId]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 7, 53
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\doctor\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\doctor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 6, 38
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\doctors-verification\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 4, 7, 70
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 0, 9, 8, 51
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\admin\metrics\route.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 8, 8, 39
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\appointments\[id]\route.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 23, 18, 94
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\appointments\route.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 17, 19, 87
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\login\route.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 3, 12, 68
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\logout\route.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\me\route.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 7, 4, 26
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\otp\request\route.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\otp\verify\route.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\refresh\route.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\register\route.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\[id]\route.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 2, 16, 63
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\[id]\verify\route.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 11, 11, 62
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\route.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 2, 13, 58
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\health\route.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\patients\[id]\route.ts", "TypeScript", 0, 77, 0, 0, 0, 0, 0, 0, 0, 8, 23, 108
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\patients\route.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 9, 37
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\users\[id]\route.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 2, 19, 89
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\users\route.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicDetails.tsx", "TypeScript JSX", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 8, 66
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicDoctors.tsx", "TypeScript JSX", 0, 0, 0, 0, 68, 0, 0, 0, 0, 2, 8, 78
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicHero.tsx", "TypeScript JSX", 0, 0, 0, 0, 57, 0, 0, 0, 0, 6, 8, 71
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicPageLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 2, 5, 38
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicServices.tsx", "TypeScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 2, 5, 36
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 79, 0, 0, 0, 0, 3, 10, 92
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicSummary.tsx", "TypeScript JSX", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 8, 65
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 7, 109
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 100, 0, 0, 0, 0, 25, 23, 148
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\appointments\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 114, 0, 0, 0, 0, 9, 15, 138
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\appointments\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 50, 0, 0, 0, 0, 3, 6, 59
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\dashboard\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\dashboard\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 5, 5, 33
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\earnings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 4, 25
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 4, 27
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\onboarding\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\prescriptions\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 2, 4, 31
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\verification\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctors\booking\confirmation\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 0, 6, 10, 56
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctors\booking\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctors\booking\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 153, 8, 14, 175
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 2, 5, 59
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\notfound.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 25
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\appointments\book\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\appointments\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 0, 11, 10, 57
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\records\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\services\auth.service.ts", "TypeScript", 0, 76, 0, 0, 0, 0, 0, 0, 0, 25, 23, 124
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\types\auth.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 7, 7, 44
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\about-hero\AboutHero.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 7, 30
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\about-hero\HeroContent.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 4, 30
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\core-values\CoreValues.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 0, 1, 4, 47
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\core-values\ValueCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 5, 32
