"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "JSON", "MS SQL", "PowerShell", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\patients\[id]\route.ts", "TypeScript", 0, 77, 0, 0, 0, 0, 0, 0, 0, 8, 23, 108
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\patients\me\preferences\route.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 0, 0, 0, 8, 23, 103
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\patients\route.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 2, 9, 52
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\users\[id]\route.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 2, 19, 89
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\users\route.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicDetails.tsx", "TypeScript JSX", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 8, 66
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicDoctors.tsx", "TypeScript JSX", 0, 0, 0, 68, 0, 0, 0, 0, 0, 2, 8, 78
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicHero.tsx", "TypeScript JSX", 0, 0, 0, 57, 0, 0, 0, 0, 0, 6, 8, 71
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicPageLayout.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 2, 5, 38
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicServices.tsx", "TypeScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 5, 36
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicSidebar.tsx", "TypeScript JSX", 0, 0, 0, 79, 0, 0, 0, 0, 0, 3, 10, 92
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\ClinicSummary.tsx", "TypeScript JSX", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 8, 65
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\clinics\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 7, 109
