"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "MS SQL", "JavaScript", "Markdown", "JSON with Comments", "comment", "blank", "total"
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\earnings\EarningsSummary.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 3, -1, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\earnings\EarningsSummarySkeleton.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 1, 1, 15
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\earnings\EarningsTable.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 3, 3, 27
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\earnings\EarningsTableSkeleton.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\settings\ClinicSettingsForm.tsx", "TypeScript JSX", 0, 144, 0, 0, 0, 0, 0, 6, 19, 169
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\settings\PersonalDetailsForm.tsx", "TypeScript JSX", 0, 109, 0, 0, 0, 0, 0, 5, 11, 125
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\settings\ProfessionalDetailsForm.tsx", "TypeScript JSX", 0, 200, 0, 0, 0, 0, 0, 12, 18, 230
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\settings\SecuritySettingsForm.tsx", "TypeScript JSX", 0, 157, 0, 0, 0, 0, 0, 6, 17, 180
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\settings\SettingsTab.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 0, 1, 4, 40
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctors\DoctorsCard.tsx", "TypeScript JSX", 0, 56, 0, 0, 0, 0, 0, 0, 9, 65
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctors\DoctorsFilter.tsx", "TypeScript JSX", 0, 79, 0, 0, 0, 0, 0, 0, 17, 96
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctors\DoctorsList.tsx", "TypeScript JSX", 0, 67, 0, 0, 0, 0, 0, 0, 10, 77
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctors\DoctorsPagination.tsx", "TypeScript JSX", 0, 50, 0, 0, 0, 0, 0, 0, 9, 59
